,Datetime,Revenue
0,2020-03-31,780634000
1,2019-12-31,1026072000
2,2019-09-30,948338000
3,2019-06-30,1510763286
4,2019-03-31,1381899000
5,2018-12-31,1772525000
6,2018-09-30,1582765000
7,2018-06-30,1600842000
8,2018-03-31,1369961000
9,2017-12-31,1713888000
10,2017-09-30,1537416000
11,2017-06-30,1590368000
12,2017-03-31,1329322000
13,2016-12-31,1721118000
14,2016-09-30,1570418000
15,2016-06-30,1618532000
16,2016-03-31,1363505000
17,2015-12-31,1717579000
18,2015-09-30,1579514000
19,2015-06-30,1599859000
20,2015-03-31,1344564000
21,2014-12-31,1715797000
22,2014-09-30,1630034000
23,2014-06-30,1630154000
24,2014-03-31,1342548000
25,2013-12-31,1694367000
26,2013-09-30,1587522000
27,2013-06-30,1618097000
28,2013-03-31,1343058000
29,2012-12-31,1696336000
30,2012-09-30,1587331000
31,2012-06-30,1602494000
32,2012-03-31,1360723000
33,2011-12-31,1652788000
34,2011-09-30,1583352000
35,2011-06-30,1604386000
36,2011-03-31,1320826000
37,2010-12-31,1634551000
38,2010-09-30,1477347000
39,2010-06-30,1490009000
40,2010-03-31,1263778000
41,2009-12-31,1512084000
42,2009-09-30,1393973000
43,2009-06-30,1437865000
44,2009-03-31,1207987000
45,2008-12-31,1608805000
46,2008-09-30,1684593000
47,2008-06-30,1831078000
48,2008-03-31,1564207000
49,2007-06-30,1802192000
