"record_id","month","day","year","AverageTemperatureFahr","AverageTemperatureUncertaintyFahr","City","country_id","Country","Latitude","Longitude"
474376,"01","01","1853",NA,NA,"Auckland","NEW","New Zealand","36.17S","175.03E"
474377,"02","01","1853",NA,NA,"Auckland","NEW","New Zealand","36.17S","175.03E"
474378,"03","01","1853",NA,NA,"Auckland","NEW","New Zealand","36.17S","175.03E"
474379,"04","01","1853",NA,NA,"Auckland","NEW","New Zealand","36.17S","175.03E"
474380,"05","01","1853",NA,NA,"Auckland","NEW","New Zealand","36.17S","175.03E"
474381,"06","01","1853",51.9062,36.9572,"Auckland","NEW","New Zealand","36.17S","175.03E"
474382,"07","01","1853",52.3886,34.5488,"Auckland","NEW","New Zealand","36.17S","175.03E"
474383,"08","01","1853",52.853,33.5498,"Auckland","NEW","New Zealand","36.17S","175.03E"
474384,"09","01","1853",52.5776,33.638,"Auckland","NEW","New Zealand","36.17S","175.03E"
474385,"10","01","1853",54.8726,33.9836,"Auckland","NEW","New Zealand","36.17S","175.03E"
474386,"11","01","1853",56.6888,34.2518,"Auckland","NEW","New Zealand","36.17S","175.03E"
474387,"12","01","1853",59.846,37.5062,"Auckland","NEW","New Zealand","36.17S","175.03E"
474388,"01","01","1854",64.5908,36.23,"Auckland","NEW","New Zealand","36.17S","175.03E"
474389,"02","01","1854",65.372,35.6576,"Auckland","NEW","New Zealand","36.17S","175.03E"
474390,"03","01","1854",64.9688,35.3966,"Auckland","NEW","New Zealand","36.17S","175.03E"
474391,"04","01","1854",59.927,35.2022,"Auckland","NEW","New Zealand","36.17S","175.03E"
474392,"05","01","1854",57.5042,34.511,"Auckland","NEW","New Zealand","36.17S","175.03E"
474393,"06","01","1854",54.518,34.7972,"Auckland","NEW","New Zealand","36.17S","175.03E"
474394,"07","01","1854",53.1914,35.024,"Auckland","NEW","New Zealand","36.17S","175.03E"
474395,"08","01","1854",52.8044,34.3544,"Auckland","NEW","New Zealand","36.17S","175.03E"
474396,"09","01","1854",53.3912,33.683,"Auckland","NEW","New Zealand","36.17S","175.03E"
474397,"10","01","1854",54.7538,37.4108,"Auckland","NEW","New Zealand","36.17S","175.03E"
474398,"11","01","1854",57.317,35.0024,"Auckland","NEW","New Zealand","36.17S","175.03E"
